# 更新时间: 2026-07-19 15:20:04（北京时间）
# 数据来源: https://github.com/kakaxi-1

央视频道,#genre#
四川卫视4K,http://183.220.107.138:4022/rtp/239.11.0.43:5140$四川移动

国际频道,#genre#
凤凰卫视,http://183.220.107.138:4022/rtp/239.11.0.153:5140$四川移动
凤凰资讯,http://183.220.107.138:4022/rtp/239.11.0.154:5140$四川移动
星空卫视,http://183.220.107.138:4022/rtp/239.11.0.156:5140$四川移动
Channel[V],http://183.220.107.138:4022/rtp/239.11.0.155:5140$四川移动

数字频道,#genre#
金鹰卡通,http://183.220.107.138:4022/rtp/239.11.0.127:5140$四川移动
快乐垂钓,http://183.220.107.138:4022/rtp/239.10.0.245:5140$四川移动
求索纪录,http://183.220.107.138:4022/rtp/239.10.0.221:5140$四川移动
中国天气,http://183.220.107.138:4022/rtp/239.10.0.177:5140$四川移动
睛彩竞技,http://183.220.107.138:4022/rtp/239.10.0.224:5140$四川移动
睛彩篮球,http://183.220.107.138:4022/rtp/239.11.0.122:5140$四川移动
卡酷少儿,http://183.220.107.138:4022/rtp/239.11.0.129:5140$四川移动
动漫秀场,http://183.220.107.138:4022/rtp/239.10.0.101:5140$四川移动
嘉佳卡通,http://183.220.107.138:4022/rtp/239.11.0.203:5140$四川移动
优漫卡通,http://183.220.107.138:4022/rtp/239.11.0.63:5140$四川移动
哈哈炫动,http://183.220.107.138:4022/rtp/239.11.0.64:5140$四川移动
新动漫,http://183.220.107.138:4022/rtp/239.10.0.159:5140$四川移动
金色学堂,http://183.220.107.138:4022/rtp/239.10.0.179:5140$四川移动
游戏风云,http://183.220.107.138:4022/rtp/239.10.0.103:5140$四川移动
都市剧场,http://183.220.107.138:4022/rtp/239.10.0.106:5140$四川移动
法治天地,http://183.220.107.138:4022/rtp/239.10.0.180:5140$四川移动
生活时尚,http://183.220.107.138:4022/rtp/239.10.0.102:5140$四川移动
东方财经,http://183.220.107.138:4022/rtp/239.10.0.178:5140$四川移动
财富天下,http://183.220.107.138:4022/rtp/239.10.0.182:5140$四川移动
地理,http://183.220.107.138:4022/rtp/239.10.0.190:5140$四川移动
戏曲,http://183.220.107.138:4022/rtp/239.10.0.150:5140$四川移动
爱上4K,http://183.220.107.138:4022/rtp/239.11.0.120:5140$四川移动
中国天气,http://183.220.107.138:4022/rtp/239.10.0.177:5140$四川移动
IPTV经典电影,http://183.220.107.138:4022/rtp/239.10.0.122:5140$四川移动
IPTV热播剧场,http://183.220.107.138:4022/rtp/239.10.0.121:5140$四川移动
IPTV谍战剧场,http://183.220.107.138:4022/rtp/239.10.0.123:5140$四川移动
陶瓷,http://183.220.107.138:4022/rtp/239.10.0.107:5140$四川移动

山东频道,#genre#
山东教育卫视,http://183.220.107.138:4022/rtp/239.11.0.140:5140$四川移动

北京频道,#genre#

广东频道,#genre#

上海频道,#genre#
东方财经,http://183.220.107.138:4022/rtp/239.10.0.178:5140$四川移动
欢笑剧场4K,http://183.220.107.138:4022/rtp/239.10.0.129:5140$四川移动

河北频道,#genre#

四川频道,#genre#
四川文化旅游,http://183.220.107.138:4022/rtp/239.11.0.3:5140$四川移动
四川经济,http://183.220.107.138:4022/rtp/239.11.0.2:5140$四川移动
四川新闻,http://183.220.107.138:4022/rtp/239.11.0.5:5140$四川移动
四川影视文艺,http://183.220.107.138:4022/rtp/239.11.0.77:5140$四川移动
四川峨眉电影,http://183.220.107.138:4022/rtp/239.11.0.11:5140$四川移动
四川妇女儿童,http://183.220.107.138:4022/rtp/239.11.0.8:5140$四川移动
四川科教,http://183.220.107.138:4022/rtp/239.11.0.194:5140$四川移动
四川乡村,http://183.220.107.138:4022/rtp/239.11.0.4:5140$四川移动
成都新闻综合,http://183.220.107.138:4022/rtp/239.10.0.11:5140$四川移动
成都经济资讯服务,http://183.220.107.138:4022/rtp/239.10.0.12:5140$四川移动
成都都市科教,http://183.220.107.138:4022/rtp/239.10.0.13:5140$四川移动
成都影视文艺,http://183.220.107.138:4022/rtp/239.10.0.14:5140$四川移动
成都公共,http://183.220.107.138:4022/rtp/239.10.0.15:5140$四川移动
成都少儿,http://183.220.107.138:4022/rtp/239.10.0.16:5140$四川移动
泸州新闻综合,http://183.220.107.138:4022/rtp/239.10.0.46:5140$四川移动
泸州科教生活,http://183.220.107.138:4022/rtp/239.10.0.48:5140$四川移动
阿坝汉语,http://183.220.107.138:4022/rtp/239.10.0.50:5140$四川移动
阿坝藏语,http://183.220.107.138:4022/rtp/239.10.0.51:5140$四川移动
巴中综合,http://183.220.107.138:4022/rtp/239.10.0.52:5140$四川移动
巴中文旅生活,http://183.220.107.138:4022/rtp/239.10.0.53:5140$四川移动
德阳新闻综合,http://183.220.107.138:4022/rtp/239.10.0.56:5140$四川移动
德阳文旅科教,http://183.220.107.138:4022/rtp/239.10.0.57:5140$四川移动
广安新闻综合,http://183.220.107.138:4022/rtp/239.10.0.58:5140$四川移动
广安文旅乡村,http://183.220.107.138:4022/rtp/239.10.0.59:5140$四川移动
广元综合,http://183.220.107.138:4022/rtp/239.10.0.60:5140$四川移动
广元文化生活,http://183.220.107.138:4022/rtp/239.10.0.61:5140$四川移动
乐山新闻综合,http://183.220.107.138:4022/rtp/239.10.0.62:5140$四川移动
乐山文旅生活,http://183.220.107.138:4022/rtp/239.10.0.63:5140$四川移动
凉山新闻综合,http://183.220.107.138:4022/rtp/239.10.0.64:5140$四川移动
凉山彝语综合,http://183.220.107.138:4022/rtp/239.10.0.65:5140$四川移动
眉山综合,http://183.220.107.138:4022/rtp/239.10.0.66:5140$四川移动
眉山文旅乡村,http://183.220.107.138:4022/rtp/239.10.0.67:5140$四川移动
南充综合,http://183.220.107.138:4022/rtp/239.10.0.68:5140$四川移动
南充科教生活,http://183.220.107.138:4022/rtp/239.10.0.70:5140$四川移动
内江综合,http://183.220.107.138:4022/rtp/239.10.0.71:5140$四川移动
内江科教生活,http://183.220.107.138:4022/rtp/239.10.0.73:5140$四川移动
攀枝花新闻综合,http://183.220.107.138:4022/rtp/239.10.0.74:5140$四川移动
攀枝花文旅生活,http://183.220.107.138:4022/rtp/239.10.0.75:5140$四川移动
遂宁综合,http://183.220.107.138:4022/rtp/239.10.0.76:5140$四川移动
遂宁文化生活,http://183.220.107.138:4022/rtp/239.10.0.77:5140$四川移动
雅安新闻综合,http://183.220.107.138:4022/rtp/239.10.0.78:5140$四川移动
雅安文化生活,http://183.220.107.138:4022/rtp/239.10.0.79:5140$四川移动
宜宾新闻综合,http://183.220.107.138:4022/rtp/239.10.0.80:5140$四川移动
宜宾公共频道,http://183.220.107.138:4022/rtp/239.10.0.81:5140$四川移动
资阳新闻综合,http://183.220.107.138:4022/rtp/239.10.0.82:5140$四川移动
自贡综合,http://183.220.107.138:4022/rtp/239.10.0.83:5140$四川移动
自贡文化生活,http://183.220.107.138:4022/rtp/239.10.0.84:5140$四川移动
绵阳新闻综合,http://183.220.107.138:4022/rtp/239.10.0.96:5140$四川移动
绵阳科教生活,http://183.220.107.138:4022/rtp/239.10.0.98:5140$四川移动
甘孜新闻,http://183.220.107.138:4022/rtp/239.10.0.32:5140$四川移动

重庆频道,#genre#

浙江频道,#genre#

湖北频道,#genre#

海南频道,#genre#

河南频道,#genre#

山西频道,#genre#

江苏频道,#genre#

陕西频道,#genre#

新疆频道,#genre#

甘肃频道,#genre#

云南频道,#genre#

天津频道,#genre#

吉林频道,#genre#
吉林卫视,http://183.220.107.138:4022/rtp/239.11.0.35:5140$四川移动

安徽频道,#genre#

辽宁频道,#genre#

内蒙古频道,#genre#

江西频道,#genre#

贵州频道,#genre#

福建频道,#genre#

广西频道,#genre#
广西卫视,http://183.220.107.138:4022/rtp/239.11.0.48:5140$四川移动

黑龙江频道,#genre#

湖南频道,#genre#

宁夏频道,#genre#

青海频道,#genre#

